filename,fold,target,category,esc10,src_file,take
1-17150-A-12.wav,1,12,crackling_fire,TRUE,17150,A
1-17565-A-12.wav,1,12,crackling_fire,TRUE,17565,A
1-17742-A-12.wav,1,12,crackling_fire,TRUE,17742,A
1-17808-A-12.wav,1,12,crackling_fire,TRUE,17808,A
1-17808-B-12.wav,1,12,crackling_fire,TRUE,17808,B
1-4211-A-12.wav,1,12,crackling_fire,TRUE,4211,A
1-46272-A-12.wav,1,12,crackling_fire,TRUE,46272,A
1-7057-A-12.wav,1,12,crackling_fire,TRUE,7057,A
2-18766-A-12.wav,2,12,crackling_fire,TRUE,18766,A
2-18766-B-12.wav,2,12,crackling_fire,TRUE,18766,B
2-28314-A-12.wav,2,12,crackling_fire,TRUE,28314,A
2-28314-B-12.wav,2,12,crackling_fire,TRUE,28314,B
2-30322-A-12.wav,2,12,crackling_fire,TRUE,30322,A
2-30322-B-12.wav,2,12,crackling_fire,TRUE,30322,B
2-61311-A-12.wav,2,12,crackling_fire,TRUE,61311,A
2-65747-A-12.wav,2,12,crackling_fire,TRUE,65747,A
3-104632-A-12.wav,3,12,crackling_fire,TRUE,104632,A
3-104958-A-12.wav,3,12,crackling_fire,TRUE,104958,A
3-120644-A-12.wav,3,12,crackling_fire,TRUE,120644,A
3-145774-A-12.wav,3,12,crackling_fire,TRUE,145774,A
3-147965-A-12.wav,3,12,crackling_fire,TRUE,147965,A
3-157187-A-12.wav,3,12,crackling_fire,TRUE,157187,A
3-158476-A-12.wav,3,12,crackling_fire,TRUE,158476,A
3-65748-A-12.wav,3,12,crackling_fire,TRUE,65748,A
4-164661-A-12.wav,4,12,crackling_fire,TRUE,164661,A
4-164661-B-12.wav,4,12,crackling_fire,TRUE,164661,B
4-170247-A-12.wav,4,12,crackling_fire,TRUE,170247,A
4-170247-B-12.wav,4,12,crackling_fire,TRUE,170247,B
4-171207-A-12.wav,4,12,crackling_fire,TRUE,171207,A
4-181563-A-12.wav,4,12,crackling_fire,TRUE,181563,A
4-182368-A-12.wav,4,12,crackling_fire,TRUE,182368,A
4-182369-A-12.wav,4,12,crackling_fire,TRUE,182369,A
5-186924-A-12.wav,5,12,crackling_fire,TRUE,186924,A
5-189212-A-12.wav,5,12,crackling_fire,TRUE,189212,A
5-189237-A-12.wav,5,12,crackling_fire,TRUE,189237,A
5-193473-A-12.wav,5,12,crackling_fire,TRUE,193473,A
5-193473-B-12.wav,5,12,crackling_fire,TRUE,193473,B
5-213802-A-12.wav,5,12,crackling_fire,TRUE,213802,A
5-215658-A-12.wav,5,12,crackling_fire,TRUE,215658,A
5-215658-B-12.wav,5,12,crackling_fire,TRUE,215658,B
