slice_file_name,fsID,start,end,salience,fold,classID,class
100852-0-0-0.wav,100852,0,4,1,5,0,air_conditioner
100852-0-0-1.wav,100852,0.5,4.5,1,5,0,air_conditioner
100852-0-0-10.wav,100852,5,9,1,5,0,air_conditioner
100852-0-0-11.wav,100852,5.5,9.5,1,5,0,air_conditioner
100852-0-0-12.wav,100852,6,10,1,5,0,air_conditioner
100852-0-0-13.wav,100852,6.5,10.5,1,5,0,air_conditioner
100852-0-0-14.wav,100852,7,11,1,5,0,air_conditioner
100852-0-0-15.wav,100852,7.5,11.5,1,5,0,air_conditioner
100852-0-0-16.wav,100852,8,12,1,5,0,air_conditioner
100852-0-0-17.wav,100852,8.5,12.5,1,5,0,air_conditioner
100852-0-0-18.wav,100852,9,13,1,5,0,air_conditioner
100852-0-0-19.wav,100852,9.5,13.5,1,5,0,air_conditioner
100852-0-0-2.wav,100852,1,5,1,5,0,air_conditioner
100852-0-0-20.wav,100852,10,14,1,5,0,air_conditioner
100852-0-0-21.wav,100852,10.5,14.5,1,5,0,air_conditioner
100852-0-0-22.wav,100852,11,15,1,5,0,air_conditioner
100852-0-0-23.wav,100852,11.5,15.5,1,5,0,air_conditioner
100852-0-0-24.wav,100852,12,16,1,5,0,air_conditioner
100852-0-0-25.wav,100852,12.5,16.5,1,5,0,air_conditioner
100852-0-0-26.wav,100852,13,17,1,5,0,air_conditioner
100852-0-0-27.wav,100852,13.5,17.5,1,5,0,air_conditioner
100852-0-0-28.wav,100852,14,18,1,5,0,air_conditioner
100852-0-0-29.wav,100852,14.5,18.5,1,5,0,air_conditioner
100852-0-0-3.wav,100852,1.5,5.5,1,5,0,air_conditioner
100852-0-0-30.wav,100852,15,19,1,5,0,air_conditioner
100852-0-0-4.wav,100852,2,6,1,5,0,air_conditioner
100852-0-0-5.wav,100852,2.5,6.5,1,5,0,air_conditioner
100852-0-0-6.wav,100852,3,7,1,5,0,air_conditioner
100852-0-0-7.wav,100852,3.5,7.5,1,5,0,air_conditioner
100852-0-0-8.wav,100852,4,8,1,5,0,air_conditioner
100852-0-0-9.wav,100852,4.5,8.5,1,5,0,air_conditioner
101729-0-0-1.wav,101729,0.5,4.5,2,9,0,air_conditioner
101729-0-0-11.wav,101729,5.5,9.5,2,9,0,air_conditioner
101729-0-0-12.wav,101729,6,10,2,9,0,air_conditioner
101729-0-0-13.wav,101729,6.5,10.5,2,9,0,air_conditioner
101729-0-0-14.wav,101729,7,11,2,9,0,air_conditioner
101729-0-0-16.wav,101729,8,12,2,9,0,air_conditioner
101729-0-0-17.wav,101729,8.5,12.5,2,9,0,air_conditioner
101729-0-0-18.wav,101729,9,13,2,9,0,air_conditioner
101729-0-0-19.wav,101729,9.5,13.5,2,9,0,air_conditioner
101729-0-0-21.wav,101729,10.5,14.5,2,9,0,air_conditioner
101729-0-0-22.wav,101729,11,15,2,9,0,air_conditioner
101729-0-0-23.wav,101729,11.5,15.5,2,9,0,air_conditioner
101729-0-0-24.wav,101729,12,16,2,9,0,air_conditioner
101729-0-0-26.wav,101729,13,17,2,9,0,air_conditioner
101729-0-0-28.wav,101729,14,18,2,9,0,air_conditioner
101729-0-0-29.wav,101729,14.5,18.5,2,9,0,air_conditioner
101729-0-0-3.wav,101729,1.5,5.5,2,9,0,air_conditioner
101729-0-0-32.wav,101729,16,20,2,9,0,air_conditioner
101729-0-0-33.wav,101729,16.5,20.5,2,9,0,air_conditioner
101729-0-0-36.wav,101729,18,22,2,9,0,air_conditioner
101729-0-0-37.wav,101729,18.5,22.5,2,9,0,air_conditioner
101729-0-0-38.wav,101729,19,23,2,9,0,air_conditioner
101729-0-0-39.wav,101729,19.5,23.5,2,9,0,air_conditioner
101729-0-0-4.wav,101729,2,6,2,9,0,air_conditioner
101729-0-0-40.wav,101729,20,24,2,9,0,air_conditioner
101729-0-0-6.wav,101729,3,7,2,9,0,air_conditioner
101729-0-0-9.wav,101729,4.5,8.5,2,9,0,air_conditioner
119067-0-0-0.wav,119067,0,4,1,10,0,air_conditioner
119067-0-0-1.wav,119067,0.5,4.5,1,10,0,air_conditioner
119067-0-0-2.wav,119067,1,5,1,10,0,air_conditioner
121285-0-0-0.wav,121285,0,4,1,6,0,air_conditioner
121285-0-0-1.wav,121285,0.5,4.5,1,6,0,air_conditioner
121285-0-0-2.wav,121285,1,5,1,6,0,air_conditioner
121285-0-0-3.wav,121285,1.5,5.5,1,6,0,air_conditioner
121285-0-0-4.wav,121285,2,6,1,6,0,air_conditioner
121285-0-0-5.wav,121285,2.5,6.5,1,6,0,air_conditioner
121285-0-0-6.wav,121285,3,7,1,6,0,air_conditioner
121285-0-0-7.wav,121285,3.5,7.5,1,6,0,air_conditioner
121285-0-0-8.wav,121285,4,8,1,6,0,air_conditioner
121285-0-0-9.wav,121285,4.5,8.5,1,6,0,air_conditioner
121286-0-0-0.wav,121286,0,4,1,5,0,air_conditioner
121286-0-0-1.wav,121286,0.5,4.5,1,5,0,air_conditioner
