filename,fold,target,category,esc10,src_file,take
1-13613-A-37.wav,1,37,clock_alarm,FALSE,13613,A
1-14262-A-37.wav,1,37,clock_alarm,FALSE,14262,A
1-34853-A-37.wav,1,37,clock_alarm,FALSE,34853,A
1-67033-A-37.wav,1,37,clock_alarm,FALSE,67033,A
1-72195-A-37.wav,1,37,clock_alarm,FALSE,72195,A
1-72195-B-37.wav,1,37,clock_alarm,FALSE,72195,B
1-74517-A-37.wav,1,37,clock_alarm,FALSE,74517,A
1-96890-A-37.wav,1,37,clock_alarm,FALSE,96890,A
2-102435-A-37.wav,2,37,clock_alarm,FALSE,102435,A
2-104475-A-37.wav,2,37,clock_alarm,FALSE,104475,A
2-104476-A-37.wav,2,37,clock_alarm,FALSE,104476,A
2-117116-A-37.wav,2,37,clock_alarm,FALSE,117116,A
2-78562-A-37.wav,2,37,clock_alarm,FALSE,78562,A
2-78562-B-37.wav,2,37,clock_alarm,FALSE,78562,B
2-89516-A-37.wav,2,37,clock_alarm,FALSE,89516,A
2-96063-A-37.wav,2,37,clock_alarm,FALSE,96063,A
3-117793-A-37.wav,3,37,clock_alarm,FALSE,117793,A
3-117883-A-37.wav,3,37,clock_alarm,FALSE,117883,A
3-120526-A-37.wav,3,37,clock_alarm,FALSE,120526,A
3-120526-B-37.wav,3,37,clock_alarm,FALSE,120526,B
3-131943-A-37.wav,3,37,clock_alarm,FALSE,131943,A
3-132340-A-37.wav,3,37,clock_alarm,FALSE,132340,A
3-139958-A-37.wav,3,37,clock_alarm,FALSE,139958,A
3-148297-A-37.wav,3,37,clock_alarm,FALSE,148297,A
4-151242-A-37.wav,4,37,clock_alarm,FALSE,151242,A
4-169508-A-37.wav,4,37,clock_alarm,FALSE,169508,A
4-172366-A-37.wav,4,37,clock_alarm,FALSE,172366,A
4-189332-A-37.wav,4,37,clock_alarm,FALSE,189332,A
4-198841-A-37.wav,4,37,clock_alarm,FALSE,198841,A
4-204684-A-37.wav,4,37,clock_alarm,FALSE,204684,A
4-209536-A-37.wav,4,37,clock_alarm,FALSE,209536,A
4-209698-A-37.wav,4,37,clock_alarm,FALSE,209698,A
5-210612-A-37.wav,5,37,clock_alarm,FALSE,210612,A
5-211408-A-37.wav,5,37,clock_alarm,FALSE,211408,A
5-219242-A-37.wav,5,37,clock_alarm,FALSE,219242,A
5-219242-B-37.wav,5,37,clock_alarm,FALSE,219242,B
5-223176-A-37.wav,5,37,clock_alarm,FALSE,223176,A
5-233645-A-37.wav,5,37,clock_alarm,FALSE,233645,A
5-234247-A-37.wav,5,37,clock_alarm,FALSE,234247,A
5-250629-A-37.wav,5,37,clock_alarm,FALSE,250629,A
